ITEM_CODE,SALE_YMD
105494,20240204
105496,20240204
105496,20240205
109140,20240924
109141,20240924
109142,20240924
123138,20241225
127139,20250731
127145,20250731
127538,20250817
127540,20250817
133558,20260101
133558,20260102
133558,20260103
133559,20260101
133559,20260102
133559,20260103
133560,20260101
133560,20260102
133560,20260103
133579,20260101
133579,20260102
133579,20260103
133622,20260101
133622,20260102
133622,20260103
133623,20260101
133623,20260102
133623,20260103
133624,20260101
133624,20260102
133624,20260103
133625,20260101
133625,20260102
133625,20260103
133631,20260101
133631,20260102
133631,20260103
105400,20240204
105400,20240205
105400,20240206
105403,20240204
105403,20240205
105403,20240206
105418,20240204
105418,20240205
105418,20240206
105419,20240204
105419,20240205
105419,20240206
105492,20240211
105492,20240212
105492,20240213
105493,20240211
105493,20240212
105493,20240213
105494,20240206
105494,20240207
105494,20240208
105496,20240206
105496,20240207
105496,20240208
105595,20240218
105595,20240219
105595,20240220
105596,20240218
105596,20240219
105596,20240220
105597,20240218
105597,20240219
105597,20240220
105598,20240218
105598,20240219
105598,20240220
105599,20240218
105599,20240219
105599,20240220
105600,20240218
105600,20240219
105600,20240220
105655,20240225
105655,20240226
105655,20240227
105656,20240225
105656,20240226
105656,20240227
105657,20240225
105657,20240226
105657,20240227
105665,20240225
105665,20240226
105665,20240227
105720,20240303
105720,20240304
105720,20240305
105722,20240303
105722,20240304
105722,20240305
105723,20240303
105723,20240304
105723,20240305
105754,20240303
105754,20240304
105754,20240305
105755,20240303
105755,20240304
105755,20240305
105795,20240310
105795,20240311
105795,20240312
105801,20240310
105801,20240311
105801,20240312
105812,20241208
105812,20241209
105812,20241210
105813,20241208
105813,20241209
105813,20241210
105814,20240317
105814,20240318
105814,20240319
105924,20240324
105924,20240325
105924,20240326
105927,20240324
105927,20240325
105927,20240326
105934,20240324
105934,20240325
105934,20240326
106028,20240331
106028,20240401
106028,20240402
106029,20240331
106029,20240401
106029,20240402
106030,20240331
106030,20240401
106030,20240402
106031,20240331
106031,20240401
106031,20240402
106032,20240325
106032,20240326
106032,20240327
106036,20240331
106036,20240401
106036,20240402
106053,20240407
106053,20240408
106053,20240409
106054,20240331
106054,20240401
106054,20240402
106115,20240407
106115,20240408
106115,20240409
106118,20240407
106118,20240408
106118,20240409
106119,20240421
106119,20240422
106119,20240423
106200,20240414
106200,20240415
106200,20240416
106304,20240421
106304,20240422
106304,20240423
106402,20240414
106402,20240415
106402,20240416
106468,20240421
106468,20240422
106468,20240423
106472,20240428
106472,20240429
106472,20240430
106477,20240428
106477,20240429
106477,20240430
106478,20240428
106478,20240429
106478,20240430
106479,20240428
106479,20240429
106479,20240430
106480,20240505
106480,20240506
106480,20240507
106481,20240428
106481,20240429
106481,20240430
106482,20240428
106482,20240429
106482,20240430
106556,20240505
106556,20240506
106556,20240507
106558,20240512
106558,20240513
106558,20240514
106559,20240505
106559,20240506
106559,20240507
106560,20240505
106560,20240506
106560,20240507
106561,20240505
106561,20240506
106561,20240507
106563,20240505
106563,20240506
106563,20240507
106663,20240602
106663,20240603
106663,20240604
106664,20240512
106664,20240513
106664,20240514
106665,20240512
106665,20240513
106665,20240514
106667,20240512
106667,20240513
106667,20240514
106669,20240505
106669,20240506
106669,20240507
106671,20240526
106671,20240527
106671,20240528
106672,20240505
106672,20240506
106672,20240507
106675,20240512
106675,20240513
106675,20240514
106676,20240519
106676,20240520
106676,20240521
106700,20240519
106700,20240520
106700,20240521
106721,20240519
106721,20240520
106721,20240521
106722,20240519
106722,20240520
106722,20240521
106750,20240526
106750,20240527
106750,20240528
106751,20240526
106751,20240527
106751,20240528
106774,20240519
106774,20240520
106774,20240521
106775,20240519
106775,20240520
106775,20240521
106778,20240519
106778,20240520
106778,20240521
106780,20240526
106780,20240527
106780,20240528
106781,20240519
106781,20240520
106781,20240521
106782,20240526
106782,20240527
106782,20240528
106783,20240526
106783,20240527
106783,20240528
106871,20240602
106871,20240603
106871,20240604
106874,20240602
106874,20240603
106874,20240604
106895,20240602
106895,20240603
106895,20240604
106964,20240609
106964,20240610
106964,20240611
107008,20240616
107008,20240617
107008,20240618
107009,20240616
107009,20240617
107009,20240618
107015,20240616
107015,20240617
107015,20240618
107030,20240616
107030,20240617
107030,20240618
107073,20240623
107073,20240624
107073,20240625
107074,20240623
107074,20240624
107074,20240625
107075,20240623
107075,20240624
107075,20240625
107076,20240721
107076,20240722
107076,20240723
107077,20240623
107077,20240624
107077,20240625
107240,20240630
107240,20240701
107240,20240702
107241,20240630
107241,20240701
107241,20240702
107244,20240630
107244,20240701
107244,20240702
107274,20240630
107274,20240701
107274,20240702
107275,20240630
107275,20240701
107275,20240702
107276,20240630
107276,20240701
107276,20240702
107277,20240630
107277,20240701
107277,20240702
107409,20240714
107409,20240715
107409,20240716
107419,20240707
107419,20240708
107419,20240709
107420,20240707
107420,20240708
107420,20240709
107452,20240714
107452,20240715
107452,20240716
107453,20240716
107453,20240717
107453,20240718
107454,20240714
107454,20240715
107454,20240716
107463,20240707
107463,20240708
107463,20240709
107464,20240714
107464,20240715
107464,20240716
107465,20240714
107465,20240715
107465,20240716
107466,20240714
107466,20240715
107466,20240716
107540,20240721
107540,20240722
107540,20240723
107541,20240721
107541,20240722
107541,20240723
107542,20240721
107542,20240722
107542,20240723
107543,20240721
107543,20240722
107543,20240723
107545,20240728
107545,20240729
107545,20240730
107549,20240721
107549,20240722
107549,20240723
107841,20240728
107841,20240729
107841,20240730
107842,20240901
107842,20240902
107842,20240903
107845,20240804
107845,20240805
107845,20240806
107847,20240804
107847,20240805
107847,20240806
107864,20240804
107864,20240805
107864,20240806
108245,20240813
108245,20240814
108245,20240815
108412,20240811
108412,20240812
108412,20240813
108414,20240811
108414,20240812
108414,20240813
108415,20240811
108415,20240812
108415,20240813
108433,20240818
108433,20240819
108433,20240820
108438,20240901
108438,20240902
108438,20240903
108459,20240818
108459,20240819
108459,20240820
108460,20240818
108460,20240819
108460,20240820
108467,20240818
108467,20240819
108467,20240820
108482,20240818
108482,20240819
108482,20240820
108483,20240818
108483,20240819
108483,20240820
108484,20240818
108484,20240819
108484,20240820
108485,20240811
108485,20240812
108485,20240813
108486,20240811
108486,20240812
108486,20240813
108487,20240812
108487,20240813
108487,20240814
108488,20240818
108488,20240819
108488,20240820
108489,20240811
108489,20240812
108489,20240813
108547,20240825
108547,20240826
108547,20240827
108548,20240929
108548,20240930
108548,20241001
108549,20240929
108549,20240930
108549,20241001
108550,20241006
108550,20241007
108550,20241008
108551,20241006
108551,20241007
108551,20241008
108552,20240901
108552,20240902
108552,20240903
108586,20240901
108586,20240902
108586,20240903
108588,20240825
108588,20240826
108588,20240827
108602,20240901
108602,20240902
108602,20240903
108603,20240901
108603,20240902
108603,20240903
108604,20240901
108604,20240902
108604,20240903
108607,20240901
108607,20240902
108607,20240903
108622,20240901
108622,20240902
108622,20240903
108714,20240908
108714,20240909
108714,20240910
108718,20240922
108718,20240923
108718,20240924
108719,20240922
108719,20240923
108719,20240924
108720,20240922
108720,20240923
108720,20240924
108721,20240908
108721,20240909
108721,20240910
108722,20240908
108722,20240909
108722,20240910
108826,20240915
108826,20240916
108826,20240917
108831,20240915
108831,20240916
108831,20240917
109004,20240915
109004,20240916
109004,20240917
109005,20240915
109005,20240916
109005,20240917
109007,20241229
109007,20241230
109007,20241231
109016,20240915
109016,20240916
109016,20240917
109140,20240928
109140,20240929
109140,20240930
109141,20240928
109141,20240929
109141,20240930
109142,20240928
109142,20240929
109142,20240930
109143,20241006
109143,20241007
109143,20241008
109144,20240929
109144,20240930
109144,20241001
109145,20240929
109145,20240930
109145,20241001
109147,20240929
109147,20240930
109147,20241001
109166,20241006
109166,20241007
109166,20241008
109168,20241006
109168,20241007
109168,20241008
109169,20241013
109169,20241014
109169,20241015
109170,20241013
109170,20241014
109170,20241015
109174,20240929
109174,20240930
